line,station,N,x,y,z
District,Ealing Common,0.03,-0.288265788,51.51012059,-5
District,Ealing Broadway,0.03,-0.301503836,51.5149171,-5.1
District,Elm Park,0.03,0.199174806,51.54979934,-5.7
District,Upney,0.03,0.101571701,51.53833317,-5.7
Docklands Light Railway,Cyprus,0.03,0.063535784,51.50879285,2.4
Docklands Light Railway,Royal Albert,0.03,0.046215879,51.50819706,
Docklands Light Railway,Beckton,0.03,0.060939746,51.51513343,
Docklands Light Railway,Prince Regent,0.03,0.033296214,51.50932105,
Docklands Light Railway,West Ham,0.03,0.005042725,51.52817952,
Docklands Light Railway,All Saints,0.03,-0.012745779,51.51100953,
Docklands Light Railway,Abbey Road,0.03,0.004000013,51.532,
Docklands Light Railway,Star Lane,0.03,0.004200013,51.5207,
Docklands Light Railway,Westferry,0.03,-0.025798818,51.50943145,
Docklands Light Railway,Pudding Mill Lane,0.03,-0.013169164,51.53439758,
Docklands Light Railway,Royal Victoria,0.03,0.018081052,51.50906228,
Docklands Light Railway,Stratford International,0.03,-0.008599987,51.5448,
Docklands Light Railway,Stratford High Street,0.03,-0.000599987,51.5379,
Docklands Light Railway,Beckton Park,0.03,0.054896001,51.50894456,
Jubilee,Canons Park,0.03,-0.294647317,51.60776172,5.1
Jubilee,Stanmore,0.03,-0.303101257,51.61961903,-8.2
District,Chiswick Park,0.02,-0.267753999,51.4942986,3
District,Acton Town,0.02,-0.280257232,51.5027466,-5.5
Docklands Light Railway,Bow Church,0.02,-0.020685204,51.52733054,
Docklands Light Railway,Langdon Park,0.02,-0.013999987,51.515,
Docklands Light Railway,Devons Road,0.02,-0.017218585,51.52217317,
Docklands Light Railway,Gallions Reach,0.02,0.072216266,51.50953907,
